a_electric_depth,b_magnetic_depth,depth_ratio_a_over_b,phase_uniform_pole_u,approximation,error_threshold_pct,worst_case_phase_deg,u_at_threshold,u_threshold_fraction_of_pole,status
0.15,0.15,1,0.8695652173913044,O(4),10,0,0.8516635539076528,0.9794130869938006,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(6),0.1,0,0.7633229750015411,0.8778214212517722,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(6),1,0,0.820956993275631,0.9441005422669756,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(6),5,0,0.8513186358792176,0.9790164312611002,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(6),10,0,0.8611914429872403,0.9903701594353262,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(2),0.1,0,0.29557454319747256,0.3472214691075777,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(2),1,0,0.5604253374565097,0.6583507053472907,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(2),5,0,0.7268227794034131,0.8538234399865055,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(2),10,0,0.7822206085948366,0.9189011541534039,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(4),0.1,0,0.6405892720841707,0.7525220059259877,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(4),1,0,0.752904371036232,0.8844623727763328,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(4),5,0,0.812158010706613,0.9540696386584124,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(4),10,0,0.8315415827714104,0.976840180045649,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(6),0.1,0,0.7352962996370451,0.8637775724101114,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(6),1,0,0.7977382913185185,0.9371303038432753,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(6),5,0,0.8311063504272382,0.9763288978076329,crossed_before_phase_uniform_pole
0.15,0.2,0.7499999999999999,0.8512565307587485,O(6),10,0,0.8420210604866804,0.9891507789504577,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(2),0.1,0,0.2522869651217808,0.3084717581751791,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(2),1,0,0.5058224903992709,0.6184701332575504,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(2),5,0,0.6791299215676654,0.8303734631483068,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(2),10,0,0.7398779484433772,0.9046501926138121,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(4),0.1,0,0.5870162293101738,0.7177458742082286,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(4),1,0,0.7069394063323746,0.8643761737329573,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(4),5,0,0.7731181807484568,0.9452930886760393,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(4),10,0,0.7952380658368147,0.9723391147778833,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(6),0.1,0,0.6874181156979099,0.8405074540749471,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(6),1,0,0.7566615303124534,0.9251715104913801,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(6),5,0,0.7946578913763143,0.9716297343475764,crossed_before_phase_uniform_pole
0.15,0.3,0.5,0.8178608201095307,O(6),10,0,0.8072331562797732,0.9870055349657976,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(2),0.1,0,0.3952524671384136,0.44366979399272094,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(2),1,0,0.6466884730165037,0.7259060106011285,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(2),5,0,0.7898339732828349,0.8865864361376193,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(2),10,0,0.8352233906536497,0.9375359307736818,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(4),0.1,0,0.7199939216580046,0.8081911726212034,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(4),1,0,0.8130684621674665,0.912667085226549,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(4),5,0,0.86014332732157,0.9655084903071205,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(4),10,0,0.8752939101544636,0.9825149773583086,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(6),0.1,0,0.7995589006952772,0.8975026400842009,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(6),1,0,0.8491854593580079,0.9532083140243739,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(6),5,0,0.8751478629338143,0.9823510397597206,crossed_before_phase_uniform_pole
0.2,0.05,4,0.8908708063747479,O(6),10,0,0.8835878742465761,0.9918249289615758,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(2),0.1,0,0.33576061028948184,0.3857595720095539,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(2),1,0,0.5991875581304125,0.6884140929412602,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(2),5,0,0.7564072933509979,0.8690458165906151,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(2),10,0,0.8074356345406597,0.9276729171332009,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(4),0.1,0,0.6768075236474643,0.7775926438482254,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(4),1,0,0.7812470262983122,0.8975844969984395,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(4),5,0,0.8351153950518265,0.9594745407927143,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(4),10,0,0.8525751695641038,0.9795342944887554,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(6),0.1,0,0.7654024442855571,0.8793804582023432,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(6),1,0,0.8222530059966348,0.9446967808503756,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(6),5,0,0.8522728481776798,0.9791869536600151,crossed_before_phase_uniform_pole
0.2,0.1,2,0.8703882797784892,O(6),10,0,0.862052640569443,0.9904230796729391,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(2),0.1,0,0.29557454319747267,0.34722146910757784,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(2),1,0,0.5604253374565097,0.6583507053472907,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(2),5,0,0.7268227794034131,0.8538234399865055,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(2),10,0,0.7822206085948366,0.9189011541534039,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(4),0.1,0,0.6405892720841707,0.7525220059259877,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(4),1,0,0.7529043710362323,0.8844623727763331,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(4),5,0,0.812158010706613,0.9540696386584124,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(4),10,0,0.8315415827714104,0.976840180045649,crossed_before_phase_uniform_pole
0.2,0.15,1.3333333333333335,0.8512565307587485,O(6),0.1,0,0.7352962996370451,0.8637775724101114,crossed_before_phase_uniform_pole
